component,file_path,symbol/function/struct,responsibility,evidence_type,inspected,risk_notes
artifact:R50:selector_shadow_score_v1.jsonl,/mnt/HC_Volume_105935807/logs/rollout/shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1/decisions/shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1/v2.5/v25_shadow/ba77fb17e35a73ba5efe8f4640339922d4f1ccaf3735ea18931f8b0e65f11970/selector_shadow_score_v1.jsonl,selector_shadow_score_v1.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=COMPLETED_OR_HISTORICAL; exists=True; size_bytes=46707398; line_count=13406; sha256=84a2d689c2d07a9b96a3dd29db0073be51340e5bc2a29652d7e40da657250a31; schema={'selector_shadow_score_v1': 13406}; run_id_coverage=0; session_id_coverage=0; pool_id_coverage=13406; base_mint_coverage=13406; timestamp_rows=13406; slot_rows=0; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=13406; safe_for_research_use=LIMITED; missing_identity_keys=13406
artifact:R50:shadow_exit_replay_v1.jsonl,/mnt/HC_Volume_105935807/logs/shadow_run/shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1/shadow_exit_replay_v1.jsonl,shadow_exit_replay_v1.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=COMPLETED_OR_HISTORICAL; exists=True; size_bytes=9226688; line_count=3657; sha256=96c6d36e7c24e6534907c4e0e92e9dd8394db5958fe2a57e8f04316959dc689a; schema={'shadow_exit_replay_v1': 3656}; run_id_coverage=1; session_id_coverage=1; pool_id_coverage=3656; base_mint_coverage=3656; timestamp_rows=3656; slot_rows=0; malformed_rows=1; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=NO; malformed_rows=1
artifact:R50:shadow_lifecycle.jsonl,/mnt/HC_Volume_105935807/logs/shadow_run/shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1/shadow_lifecycle.jsonl,shadow_lifecycle.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=COMPLETED_OR_HISTORICAL; exists=True; size_bytes=212628141; line_count=65318; sha256=c4b49db3881be9510ea3c4a986aa0a082103ee581f4f23b8d9e7f3c48984f4ff; schema={'UNKNOWN': 65293}; run_id_coverage=1; session_id_coverage=1; pool_id_coverage=3965; base_mint_coverage=3965; timestamp_rows=65293; slot_rows=61345; malformed_rows=25; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=NO; malformed_rows=25
artifact:R50:pre_run_manifest,,pre_run_manifest,expected evidence artifact,missing_artifact,True,BLOCKED_BY_MISSING_EVIDENCE; scope_status=COMPLETED_OR_HISTORICAL
artifact:R50:post_run_manifest,,post_run_manifest,expected evidence artifact,missing_artifact,True,BLOCKED_BY_MISSING_EVIDENCE; scope_status=COMPLETED_OR_HISTORICAL
artifact:R51:gatekeeper_v2_decisions.jsonl,/root/Gho-tsv2-a1-a2-clean/logs/rollout/shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1/decisions/shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1/v2.2/legacy_live/deaf67d41d06ff5966948a2690ca06e78c8b14da263f200cb039f7cf2148b750/gatekeeper_v2_decisions.jsonl,gatekeeper_v2_decisions.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=ACTIVE_PARTIAL; exists=True; size_bytes=864656207; line_count=8335; sha256=SKIPPED_TOO_LARGE; schema={'UNKNOWN': 8335}; run_id_coverage=1; session_id_coverage=1; pool_id_coverage=8335; base_mint_coverage=8335; timestamp_rows=8335; slot_rows=0; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=ACTIVE_PARTIAL; R51 active/partial unless post-run manifest exists
artifact:R51:gatekeeper_v2_decisions.jsonl,/root/Gho-tsv2-a1-a2-clean/logs/rollout/shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1/decisions/shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1/v2.5/v25_shadow/deaf67d41d06ff5966948a2690ca06e78c8b14da263f200cb039f7cf2148b750/gatekeeper_v2_decisions.jsonl,gatekeeper_v2_decisions.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=ACTIVE_PARTIAL; exists=True; size_bytes=864132150; line_count=8336; sha256=SKIPPED_TOO_LARGE; schema={'UNKNOWN': 8336}; run_id_coverage=1; session_id_coverage=1; pool_id_coverage=8336; base_mint_coverage=8336; timestamp_rows=8336; slot_rows=0; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=ACTIVE_PARTIAL; R51 active/partial unless post-run manifest exists
artifact:R51:launcher_report,/root/Gho-tsv2-a1-a2-clean/reports/selector/shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1/run_lifecycle_guard_20260629T005933Z/RUN_LIFECYCLE_LAUNCHER_REPORT.json,launcher_report,available local evidence artifact,run_report_or_manifest,True,scope_status=ACTIVE_PARTIAL; exists=True; size_bytes=2205; line_count=41; sha256=21a3dee3a943e35822b2862d2b318ecf9798dbe797595d97bb5be8bd745c23d9; schema={}; run_id_coverage=0; session_id_coverage=0; pool_id_coverage=0; base_mint_coverage=0; timestamp_rows=0; slot_rows=0; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=YES; no_artifact_parse_risk_detected
artifact:R51:launcher_report,/root/Gho-tsv2-a1-a2-clean/reports/selector/shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1/run_lifecycle_guard_20260629T005933Z/RUN_LIFECYCLE_LAUNCHER_REPORT.md,launcher_report,available local evidence artifact,run_report_or_manifest,True,scope_status=ACTIVE_PARTIAL; exists=True; size_bytes=1154; line_count=37; sha256=cd341350e492452c0a0420b00f0a57f190d1168bd3bb4d0702272c16e18502b5; schema={}; run_id_coverage=0; session_id_coverage=0; pool_id_coverage=0; base_mint_coverage=0; timestamp_rows=0; slot_rows=0; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=YES; no_artifact_parse_risk_detected
artifact:R51:launcher_report,/root/Gho-tsv2-a1-a2-clean/reports/selector/shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1/run_lifecycle_guard_20260629T012159Z_minfree5/RUN_LIFECYCLE_LAUNCHER_REPORT.json,launcher_report,available local evidence artifact,run_report_or_manifest,True,scope_status=ACTIVE_PARTIAL; exists=True; size_bytes=16794; line_count=382; sha256=c193b9bc76977ba8e8fa7c609c51ba017b90f16495feeb27592f6cd0a405c1fd; schema={}; run_id_coverage=0; session_id_coverage=0; pool_id_coverage=0; base_mint_coverage=0; timestamp_rows=0; slot_rows=0; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=YES; no_artifact_parse_risk_detected
artifact:R51:launcher_report,/root/Gho-tsv2-a1-a2-clean/reports/selector/shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1/run_lifecycle_guard_20260629T012159Z_minfree5/RUN_LIFECYCLE_LAUNCHER_REPORT.md,launcher_report,available local evidence artifact,run_report_or_manifest,True,scope_status=ACTIVE_PARTIAL; exists=True; size_bytes=1133; line_count=33; sha256=20453d9acfde5a95352661304e8d9f5333f61f2d8505c5d20ef204b763b04f8a; schema={}; run_id_coverage=0; session_id_coverage=0; pool_id_coverage=0; base_mint_coverage=0; timestamp_rows=0; slot_rows=0; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=YES; no_artifact_parse_risk_detected
artifact:R51:pre_run_manifest,/root/Gho-tsv2-a1-a2-clean/logs/rollout/shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1/pre_run_manifest.json,pre_run_manifest,available local evidence artifact,run_report_or_manifest,True,scope_status=ACTIVE_PARTIAL; exists=True; size_bytes=8540; line_count=80; sha256=bcaa7001e05a01a3c60e458dd8923129b9dddb54c07800beb0bf928908760f97; schema={}; run_id_coverage=0; session_id_coverage=0; pool_id_coverage=0; base_mint_coverage=0; timestamp_rows=0; slot_rows=0; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=YES; no_artifact_parse_risk_detected
artifact:R51:probe_shadow_lifecycle.jsonl,/root/Gho-tsv2-a1-a2-clean/logs/shadow_run/shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1/probe_shadow_lifecycle.jsonl,probe_shadow_lifecycle.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=ACTIVE_PARTIAL; exists=True; size_bytes=3480908; line_count=1188; sha256=dde13518d14d546c19c220fa21a27131bf5a96d47259a130a54f086170ba078c; schema={'UNKNOWN': 1188}; run_id_coverage=1; session_id_coverage=1; pool_id_coverage=594; base_mint_coverage=594; timestamp_rows=1188; slot_rows=1188; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=YES; no_artifact_parse_risk_detected
artifact:R51:selector_shadow_score_v1.jsonl,/root/Gho-tsv2-a1-a2-clean/logs/rollout/shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1/decisions/shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1/v2.2/legacy_live/deaf67d41d06ff5966948a2690ca06e78c8b14da263f200cb039f7cf2148b750/selector_shadow_score_v1.jsonl,selector_shadow_score_v1.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=ACTIVE_PARTIAL; exists=True; size_bytes=28851848; line_count=8336; sha256=e0abbdaab8aa44726c01778ca97622c7e5c1edbbbced8540cb67241e30acc389; schema={'selector_shadow_score_v1': 8336}; run_id_coverage=0; session_id_coverage=0; pool_id_coverage=8336; base_mint_coverage=8336; timestamp_rows=8336; slot_rows=0; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=8336; safe_for_research_use=LIMITED; missing_identity_keys=8336
artifact:R51:selector_shadow_score_v1.jsonl,/root/Gho-tsv2-a1-a2-clean/logs/rollout/shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1/decisions/shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1/v2.5/v25_shadow/deaf67d41d06ff5966948a2690ca06e78c8b14da263f200cb039f7cf2148b750/selector_shadow_score_v1.jsonl,selector_shadow_score_v1.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=ACTIVE_PARTIAL; exists=True; size_bytes=28881148; line_count=8336; sha256=15f88cad73c6a8de89ead3a9f743d0a195d695fc13554e8b1a61f1b087d134eb; schema={'selector_shadow_score_v1': 8336}; run_id_coverage=0; session_id_coverage=0; pool_id_coverage=8336; base_mint_coverage=8336; timestamp_rows=8336; slot_rows=0; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=8336; safe_for_research_use=LIMITED; missing_identity_keys=8336
artifact:R51:shadow_exit_replay_v1.jsonl,/root/Gho-tsv2-a1-a2-clean/logs/shadow_run/shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1/shadow_exit_replay_v1.jsonl,shadow_exit_replay_v1.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=ACTIVE_PARTIAL; exists=True; size_bytes=6300536; line_count=2582; sha256=a998ed96d7896d118b9bf8612af5f5afe230154d268f31c62f6d3c379f1327cd; schema={'shadow_exit_replay_v1': 2582}; run_id_coverage=1; session_id_coverage=1; pool_id_coverage=2582; base_mint_coverage=2582; timestamp_rows=2582; slot_rows=0; malformed_rows=0; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=ACTIVE_PARTIAL; R51 active/partial unless post-run manifest exists
artifact:R51:shadow_lifecycle.jsonl,/root/Gho-tsv2-a1-a2-clean/logs/shadow_run/shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1/shadow_lifecycle.jsonl,shadow_lifecycle.jsonl,available local evidence artifact,jsonl_artifact,True,scope_status=ACTIVE_PARTIAL; exists=True; size_bytes=21123339; line_count=7995; sha256=cdad61eaf843013b57639a195cfc5c373bfdf8c904417803d52ce05786b4f7e6; schema={'UNKNOWN': 7991}; run_id_coverage=1; session_id_coverage=1; pool_id_coverage=2817; base_mint_coverage=2817; timestamp_rows=7991; slot_rows=5177; malformed_rows=4; duplicate_identity_keys=0; missing_identity_keys=0; safe_for_research_use=NO; malformed_rows=4
artifact:R51:post_run_manifest,,post_run_manifest,expected evidence artifact,missing_artifact,True,BLOCKED_BY_MISSING_EVIDENCE; scope_status=ACTIVE_PARTIAL
