event_family,component,current_classification,source_available_in_provider_or_ingest,source_available_in_current_code,source_carried_in_handoff,blocks_l2,blocks_l3,required_fix,candidate_pr,verdict,notes
ENTRY_POOL_STATE_BEFORE,inner_instruction_index,UNKNOWN,partial_raw_parser_has_inner_group_index_not_exact_inner_ix,yes_payload_field_exists_but_trigger_sets_None,no,yes,yes,define exact semantics or keep UNKNOWN,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,payload has source_inner_instruction_index but Trigger has no value
ENTRY_POOL_STATE_BEFORE,log_index,SOLANA_NATIVE_LOG_INDEX_NOT_APPLICABLE,solana_native_log_index_not_applicable; raw_meta_log_messages_can_be_enumerated_for_internal_ordinal,yes_geyser_transaction_has_logs_vec_but_not_shadow_boundary_handoff,no,yes,yes,clarify log_index_or_unknown as non-native internal log message ordinal or rename later,PR43-E,SOLANA_NATIVE_LOG_INDEX_NOT_APPLICABLE,Solana has no EVM-style native logIndex; internal log message index is optional derived metadata from meta.logMessages and is not currently carried to Shadow V2
ENTRY_FILL,block_time,UNKNOWN,yes_geyser_transaction_and_nln_trade_can_have_block_time,no_shadow_entry_fill_uses_attempt_key,no,yes,yes,carry block_time from entry boundary or handoff into fill key,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,fill key mutates event_seq only and inherits missing components
ENTRY_FILL,source_tx_signature,KNOWN_FROM_POSTBUY_SIGNATURE_OR_UNKNOWN,yes_trade_events_have_signature,yes_postbuy_handoff_has_signature,partial,yes,yes,prove source signature and link to entry boundary,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current fill may have handoff signature but not full chain-order proof
ENTRY_FILL,transaction_index,UNKNOWN,yes_nln_and_pool_transaction_have_tx_index,yes_pool_transaction_has_tx_index,no,yes,yes,carry transaction_index into entry fill key,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current entry fill does not receive tx_index
ENTRY_FILL,instruction_index,UNKNOWN,yes_raw_parser_and_nln_message_can_have_instruction_index,yes_pool_transaction_outer_instruction_index_exists,no,yes,yes,carry instruction_index into entry fill key,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current entry fill does not receive instruction index
ENTRY_FILL,inner_instruction_index,UNKNOWN,partial_raw_parser_has_inner_group_index_not_exact_inner_ix,yes_pool_transaction_inner_group_index_exists,no,yes,yes,define exact CPI order semantics or keep UNKNOWN,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current entry fill does not receive inner instruction index
ENTRY_FILL,log_index,SOLANA_NATIVE_LOG_INDEX_NOT_APPLICABLE,solana_native_log_index_not_applicable; raw_meta_log_messages_can_be_enumerated_for_internal_ordinal,yes_geyser_transaction_has_logs_vec_but_not_shadow_boundary_handoff,no,yes,yes,clarify log_index_or_unknown as non-native internal log message ordinal or rename later,PR43-E,SOLANA_NATIVE_LOG_INDEX_NOT_APPLICABLE,Solana has no EVM-style native logIndex; internal log message index is optional derived metadata from meta.logMessages and is not currently carried to Shadow V2
ENTRY_POOL_STATE_AFTER_DERIVED,block_time,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED and do not fake observed chain time,none,NOT_APPLICABLE_DERIVED_COMPONENT,after-state is deterministic model output not observed chain event
ENTRY_POOL_STATE_AFTER_DERIVED,source_tx_signature,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED and link to entry fill source refs,none,NOT_APPLICABLE_DERIVED_COMPONENT,after-state must not pretend to have source transaction signature
ENTRY_POOL_STATE_AFTER_DERIVED,transaction_index,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED,none,NOT_APPLICABLE_DERIVED_COMPONENT,after-state is not a transaction
ENTRY_POOL_STATE_AFTER_DERIVED,instruction_index,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED,none,NOT_APPLICABLE_DERIVED_COMPONENT,after-state is not an instruction
ENTRY_POOL_STATE_AFTER_DERIVED,inner_instruction_index,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED,none,NOT_APPLICABLE_DERIVED_COMPONENT,after-state is not an inner instruction
ENTRY_POOL_STATE_AFTER_DERIVED,log_index,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED,none,NOT_APPLICABLE_DERIVED_COMPONENT,after-state is not a log event
PATH_SAMPLE,block_time,UNKNOWN,yes_geyser_transaction_and_nln_trade_can_have_block_time,no_lifecycle_path_key_sets_unknown,no,yes,yes,carry block_time into lifecycle/path sample source,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,MonitoringEngine helper hardcodes block_time UNKNOWN
PATH_SAMPLE,source_tx_signature,KNOWN_IF_EXIT_MARKET_ANCHOR_PRESENT,yes_trade_events_have_signature,yes_lifecycle_record_may_have_exit_market_anchor_tx_signature,partial,yes,yes,ensure anchor signature is source transaction signature and not mark-only label,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,path key uses exit_market_anchor_tx_signature when present
PATH_SAMPLE,transaction_index,UNKNOWN,yes_nln_and_pool_transaction_have_tx_index,yes_pool_transaction_has_tx_index,no,yes,yes,carry tx_index into lifecycle/path sample source,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current lifecycle record does not expose tx_index to shadow_v2_event_order_key
PATH_SAMPLE,instruction_index,UNKNOWN,yes_raw_parser_and_nln_message_can_have_instruction_index,yes_pool_transaction_outer_instruction_index_exists,no,yes,yes,carry outer_instruction_index into lifecycle/path sample source,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current lifecycle record does not expose instruction index
PATH_SAMPLE,inner_instruction_index,UNKNOWN,partial_raw_parser_has_inner_group_index_not_exact_inner_ix,yes_pool_transaction_inner_group_index_exists,no,yes,yes,define exact CPI order semantics or keep UNKNOWN,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current lifecycle record does not expose inner instruction index
PATH_SAMPLE,log_index,SOLANA_NATIVE_LOG_INDEX_NOT_APPLICABLE,solana_native_log_index_not_applicable; raw_meta_log_messages_can_be_enumerated_for_internal_ordinal,yes_geyser_transaction_has_logs_vec_but_not_shadow_boundary_handoff,no,yes,yes,clarify log_index_or_unknown as non-native internal log message ordinal or rename later,PR43-E,SOLANA_NATIVE_LOG_INDEX_NOT_APPLICABLE,Solana has no EVM-style native logIndex; internal log message index is optional derived metadata from meta.logMessages and is not currently carried to Shadow V2
EXIT_ATTEMPT,block_time,UNKNOWN,yes_geyser_transaction_and_nln_trade_can_have_block_time,no_exit_attempt_key_sets_unknown,no,yes,yes,carry block_time into exit attempt source,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,MonitoringEngine helper hardcodes block_time UNKNOWN
EXIT_ATTEMPT,source_tx_signature,KNOWN_IF_EXIT_MARKET_ANCHOR_PRESENT,yes_trade_events_have_signature,yes_lifecycle_record_may_have_exit_market_anchor_tx_signature,partial,yes,yes,ensure anchor signature is source transaction signature,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,exit attempt key uses exit_market_anchor_tx_signature when present
EXIT_ATTEMPT,transaction_index,UNKNOWN,yes_nln_and_pool_transaction_have_tx_index,yes_pool_transaction_has_tx_index,no,yes,yes,carry tx_index into exit attempt source,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current lifecycle record does not expose tx_index
EXIT_ATTEMPT,instruction_index,UNKNOWN,yes_raw_parser_and_nln_message_can_have_instruction_index,yes_pool_transaction_outer_instruction_index_exists,no,yes,yes,carry instruction_index into exit attempt source,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current lifecycle record does not expose instruction index
EXIT_ATTEMPT,inner_instruction_index,UNKNOWN,partial_raw_parser_has_inner_group_index_not_exact_inner_ix,yes_pool_transaction_inner_group_index_exists,no,yes,yes,define exact CPI order semantics or keep UNKNOWN,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current lifecycle record does not expose inner instruction index
EXIT_ATTEMPT,log_index,SOLANA_NATIVE_LOG_INDEX_NOT_APPLICABLE,solana_native_log_index_not_applicable; raw_meta_log_messages_can_be_enumerated_for_internal_ordinal,yes_geyser_transaction_has_logs_vec_but_not_shadow_boundary_handoff,no,yes,yes,clarify log_index_or_unknown as non-native internal log message ordinal or rename later,PR43-E,SOLANA_NATIVE_LOG_INDEX_NOT_APPLICABLE,Solana has no EVM-style native logIndex; internal log message index is optional derived metadata from meta.logMessages and is not currently carried to Shadow V2
EXIT_POOL_STATE_BEFORE,block_time,UNKNOWN,yes_geyser_transaction_and_nln_trade_can_have_block_time,no_exit_pool_state_key_sets_unknown,no,yes,yes,carry block_time into exit lifecycle pool-state sample,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,pool sample source is AccountStateCore current state and lacks block_time
EXIT_POOL_STATE_BEFORE,source_tx_signature,KNOWN_IF_EXIT_MARKET_ANCHOR_PRESENT,yes_trade_events_have_signature,yes_lifecycle_record_may_have_exit_market_anchor_tx_signature,partial,yes,yes,prove anchor signature belongs to pool state boundary,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current code passes exit_market_anchor_tx_signature if present
EXIT_POOL_STATE_BEFORE,transaction_index,UNKNOWN,yes_nln_and_pool_transaction_have_tx_index,yes_pool_transaction_has_tx_index,no,yes,yes,carry tx_index into exit pool-state sample,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current AccountStateCore state does not retain tx_index
EXIT_POOL_STATE_BEFORE,instruction_index,UNKNOWN,yes_raw_parser_and_nln_message_can_have_instruction_index,yes_pool_transaction_outer_instruction_index_exists,no,yes,yes,carry instruction_index into exit pool-state sample,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current AccountStateCore state does not retain instruction index
EXIT_POOL_STATE_BEFORE,inner_instruction_index,UNKNOWN,partial_raw_parser_has_inner_group_index_not_exact_inner_ix,yes_pool_transaction_inner_group_index_exists,no,yes,yes,define exact CPI order semantics or keep UNKNOWN,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current AccountStateCore state does not retain inner instruction index
EXIT_POOL_STATE_BEFORE,log_index,SOLANA_NATIVE_LOG_INDEX_NOT_APPLICABLE,solana_native_log_index_not_applicable; raw_meta_log_messages_can_be_enumerated_for_internal_ordinal,yes_geyser_transaction_has_logs_vec_but_not_shadow_boundary_handoff,no,yes,yes,clarify log_index_or_unknown as non-native internal log message ordinal or rename later,PR43-E,SOLANA_NATIVE_LOG_INDEX_NOT_APPLICABLE,Solana has no EVM-style native logIndex; internal log message index is optional derived metadata from meta.logMessages and is not currently carried to Shadow V2
EXIT_FILL,block_time,UNKNOWN,yes_geyser_transaction_and_nln_trade_can_have_block_time,no_exit_fill_key_sets_unknown,no,yes,yes,carry block_time from exit boundary into fill key,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,fill key uses lifecycle helper with block_time UNKNOWN
EXIT_FILL,source_tx_signature,KNOWN_IF_EXIT_MARKET_ANCHOR_PRESENT,yes_trade_events_have_signature,yes_lifecycle_record_may_have_exit_market_anchor_tx_signature,partial,yes,yes,ensure source signature is not mark-only terminal label,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,exit fill key uses exit_market_anchor_tx_signature when present
EXIT_FILL,transaction_index,UNKNOWN,yes_nln_and_pool_transaction_have_tx_index,yes_pool_transaction_has_tx_index,no,yes,yes,carry transaction_index into exit fill key,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current exit fill does not receive tx_index
EXIT_FILL,instruction_index,UNKNOWN,yes_raw_parser_and_nln_message_can_have_instruction_index,yes_pool_transaction_outer_instruction_index_exists,no,yes,yes,carry instruction_index into exit fill key,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current exit fill does not receive instruction index
EXIT_FILL,inner_instruction_index,UNKNOWN,partial_raw_parser_has_inner_group_index_not_exact_inner_ix,yes_pool_transaction_inner_group_index_exists,no,yes,yes,define exact CPI order semantics or keep UNKNOWN,PR43-E,PARTIAL_SOURCE_PRESENT_NOT_CARRIED,current exit fill does not receive inner instruction index
EXIT_FILL,log_index,SOLANA_NATIVE_LOG_INDEX_NOT_APPLICABLE,solana_native_log_index_not_applicable; raw_meta_log_messages_can_be_enumerated_for_internal_ordinal,yes_geyser_transaction_has_logs_vec_but_not_shadow_boundary_handoff,no,yes,yes,clarify log_index_or_unknown as non-native internal log message ordinal or rename later,PR43-E,SOLANA_NATIVE_LOG_INDEX_NOT_APPLICABLE,Solana has no EVM-style native logIndex; internal log message index is optional derived metadata from meta.logMessages and is not currently carried to Shadow V2
EXIT_POOL_STATE_AFTER_DERIVED,block_time,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED and do not fake observed chain time,none,NOT_APPLICABLE_DERIVED_COMPONENT,after-state is deterministic sell model output
EXIT_POOL_STATE_AFTER_DERIVED,source_tx_signature,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED and link to exit fill source refs,none,NOT_APPLICABLE_DERIVED_COMPONENT,after-state must not pretend to have source transaction signature
EXIT_POOL_STATE_AFTER_DERIVED,transaction_index,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED,none,NOT_APPLICABLE_DERIVED_COMPONENT,after-state is not a transaction
EXIT_POOL_STATE_AFTER_DERIVED,instruction_index,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED,none,NOT_APPLICABLE_DERIVED_COMPONENT,after-state is not an instruction
EXIT_POOL_STATE_AFTER_DERIVED,inner_instruction_index,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED,none,NOT_APPLICABLE_DERIVED_COMPONENT,after-state is not an inner instruction
EXIT_POOL_STATE_AFTER_DERIVED,log_index,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED,none,NOT_APPLICABLE_DERIVED_COMPONENT,after-state is not a log event
TERMINAL_TRUTH,block_time,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED and do not treat terminal as chain-observed input,none,NOT_APPLICABLE_DERIVED_COMPONENT,terminal truth is derived from canonical fills/lifecycle and must not be EXIT_BEFORE source
TERMINAL_TRUTH,source_tx_signature,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED and link entry/exit fill ids,none,NOT_APPLICABLE_DERIVED_COMPONENT,terminal truth does not own source transaction signature
TERMINAL_TRUTH,transaction_index,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED,none,NOT_APPLICABLE_DERIVED_COMPONENT,terminal truth is not a transaction
TERMINAL_TRUTH,instruction_index,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED,none,NOT_APPLICABLE_DERIVED_COMPONENT,terminal truth is not an instruction
TERMINAL_TRUTH,inner_instruction_index,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED,none,NOT_APPLICABLE_DERIVED_COMPONENT,terminal truth is not an inner instruction
TERMINAL_TRUTH,log_index,DERIVED,not_applicable,yes_derived_component_classification,yes_as_derived,no,yes,keep DERIVED,none,NOT_APPLICABLE_DERIVED_COMPONENT,terminal truth is not a log event
