claim_id,claim_text,status,proof_type,artifact_path,source_file,source_function_or_struct,sample_scope,sample_pool_or_mint,numeric_result,limitations
REPLAY_LIFECYCLE_JOIN_SAFE,Replay and lifecycle exact join is safe.,NOT_PROVEN,reconciliation,reports/selector/shadow_fidelity_replay_lifecycle_reconciliation.csv,scripts/shadow_burnin_fidelity_audit.py,reconciliation_rows,ALL,,"{""ambiguous_join_count"": 0, ""close_age_match_rate"": 0.11485251892456277, ""close_reason_match_rate"": 0.12868702688593056, ""duplicate_terminal_count"": 15253, ""exact_join_rate"": 0.9998042669798395, ""fallback_join_rate"": 0.0, ""final_pnl_match_rate"": 0.00026102845210127906, ""max_pnl_diff_bps"": 17177.48285714286, ""median_pnl_diff_bps"": 101.4614285714286, ""missing_lifecycle_count"": 3, ""missing_replay_count"": 3821, ""p95_pnl_diff_bps"": 735.0514285714286}",exact join may be high while story equivalence still fails on close reason/age/PnL or duplicate terminal rows
NO_SILENT_AMBIGUOUS_FALLBACK_JOIN,Ambiguous fallback joins are not silently accepted.,PROVEN,deterministic_fixture,reports/selector/shadow_fidelity_fixture_results.csv,scripts/shadow_burnin_fidelity_audit.py,classify_fallback_join,ALL,,fallback_join_rate=0,audit refuses silent fallback joins
PATH_DENSITY_SUPPORTS_2S_3S,Path density supports 2-3s conclusions.,PARTIALLY_PROVEN,aggregate_metric,reports/selector/shadow_fidelity_path_sampling_density.csv,scripts/shadow_burnin_fidelity_audit.py,path_density_verdict,ALL,,"{""2s"": {""EVALUABLE_APPROX"": 5, ""NOT_EVALUABLE_NO_COVERAGE"": 57, ""SPARSE_APPROX_ONLY"": 15265}, ""3s"": {""EVALUABLE_APPROX"": 5, ""NOT_EVALUABLE_NO_COVERAGE"": 57, ""SPARSE_APPROX_ONLY"": 15265}}",only rows with coverage may be used; sparse/no-coverage rows must be excluded
PATH_DENSITY_SUPPORTS_120S,Path density supports 120s conclusions.,PARTIALLY_PROVEN,aggregate_metric,reports/selector/shadow_fidelity_path_sampling_density.csv,scripts/shadow_burnin_fidelity_audit.py,path_density_verdict,ALL,,"{""EVALUABLE_APPROX"": 31, ""NOT_EVALUABLE_NO_COVERAGE"": 15296}",only if replay horizon and observed path cover 120s
PATH_DENSITY_SUPPORTS_300S_500S,Path density supports 300-500s conclusions.,DISPROVEN,aggregate_metric,reports/selector/shadow_fidelity_path_sampling_density.csv,scripts/shadow_burnin_fidelity_audit.py,path_density_verdict,ALL,,"{""300s"": {""NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY"": 15327}, ""500s"": {""NOT_EVALUABLE_HORIZON_EXCEEDS_REPLAY"": 15327}}",cannot infer horizons beyond replay coverage
SHADOW_MODELS_ENTRY_SLIPPAGE,Shadow models entry slippage.,DISPROVEN,missing_evidence,reports/selector/shadow_fidelity_live_equivalence_gap.csv,ghost-launcher/src/oracle_runtime.rs,shadow_entry_record_from_request,ALL,,,replay rows do not model live realized slippage
SHADOW_MODELS_EXIT_SLIPPAGE,Shadow models exit slippage.,DISPROVEN,missing_evidence,reports/selector/shadow_fidelity_live_equivalence_gap.csv,ghost-brain/src/guardian/post_buy/engine.rs,"resolve_shadow_exit(..., 0.0)",ALL,,,"exit replay is mark/path evidence, not executable sell proof"
SHADOW_MODELS_OWN_TRADE_IMPACT,Shadow models own trade impact.,DISPROVEN,missing_evidence,reports/selector/shadow_fidelity_live_equivalence_gap.csv,ghost-brain/src/execution/shadow.rs,ShadowBackend,ALL,,,not proven in replay/lifecycle artifacts
SHADOW_MODELS_LANDING_LATENCY,Shadow models landing latency.,DISPROVEN,missing_evidence,reports/selector/shadow_fidelity_live_equivalence_gap.csv,ghost-brain/src/execution,shadow/live boundary,ALL,,,no submit-to-land or landed slot evidence
SHADOW_MODELS_FAILED_TX,Shadow models failed transactions.,DISPROVEN,missing_evidence,reports/selector/shadow_fidelity_live_equivalence_gap.csv,ghost-brain/src/execution,shadow/live boundary,ALL,,,failed landing/no-fill not represented as outcome class in replay rows
SHADOW_CAN_BE_USED_FOR_RESEARCH,Shadow can be used for offline research.,PARTIALLY_PROVEN,aggregate_metric,reports/selector/shadow_fidelity_claim_evidence_matrix.csv,scripts/shadow_burnin_fidelity_audit.py,audit synthesis,ALL,,critical_live_gaps=8,"valid only as offline shadow/path research, not as live execution proof"
SHADOW_CAN_BE_USED_AS_LIVE_EQUIVALENT,Shadow can be used as live-equivalent evidence.,DISPROVEN,missing_evidence,reports/selector/shadow_fidelity_live_equivalence_gap.csv,docs/agents/solana-execution-path-engineer.md,simulation vs inclusion discipline,ALL,,"[""decision-to-submit latency"", ""submit-to-land latency"", ""Jito bundle success/fail"", ""actual landing slot"", ""failed transactions"", ""entry slippage"", ""exit slippage"", ""quote/fill divergence""]",critical live-equivalence fields are not modeled/logged
